Filename,Segment,WC,WPS,Sixltr,Dic,Funct,TotPron,PronPer,Yo,Nosotro,TuUtd,ElElla,Ellos,PronImp,Articulo,Verbos,VerbAux,Pasado,Present,Futuro,Adverb,Prepos,Conjunc,Negacio,Cuantif,Numeros,Maldec,verbYO,verbTU,verbNOS,verbosEL,verbELLOS,Subjuntiv,VosUtds,formal,informal,verbVos,Social,Familia,Amigos,Humanos,Afect,EmoPos,EmoNeg,Ansiedad,Enfado,Triste,MecCog,Insight,Causa,Discrep,Tentat,Certeza,Inhib,Incl,Excl,Percept,Ver,Oir,Sentir,Biolog,Cuerpo,Salud,Sexual,Ingerir,Relativ,Movim,Espacio,Tiempo,Trabajo,Logro,Placer,Hogar,Dinero,Relig,Muerte,Asentir,NoFluen,Relleno,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
sr14.txt,1,1331,"28,93","22,24","73,25","47,78","15,33","7,66","0,23","0,45","0,08","7,44","2,40","7,66","11,65","10,59","1,13","2,10","8,04","0,00","3,31","13,15","5,79","1,13","1,43","1,95","0,00","0,68","0,00","0,38","3,31","1,05","1,80","0,23","0,00","0,00","0,00","8,87","0,23","0,00","0,45","2,63","1,05","1,05","0,15","0,60","0,15","21,49","2,25","1,50","0,98","1,58","1,88","0,23","7,14","1,80","2,18","0,53","0,75","0,30","1,20","0,45","0,15","0,08","0,68","10,74","1,95","6,46","3,23","2,25","1,20","0,68","0,23","0,45","0,23","0,08","0,30","0,08","0,00","9,47","3,23","5,63","0,30","0,00","0,30","0,00","0,00","0,00","0,00","0,00","0,00"
sr15.txt,1,1224,"21,10","17,73","72,39","46,90","14,30","7,84","0,33","0,25","0,49","7,43","2,04","6,45","12,66","9,23","0,49","1,80","6,78","0,00","2,78","14,79","5,07","1,14","1,31","3,27","0,08","1,47","0,00","0,57","3,35","0,41","1,72","0,49","0,00","0,00","0,00","8,50","0,65","0,16","0,98","3,02","1,88","0,82","0,16","0,41","0,08","18,14","2,70","0,98","0,57","1,63","0,90","0,49","5,88","1,80","2,70","0,65","0,90","0,33","1,06","0,16","0,25","0,16","0,57","8,66","1,55","4,74","3,10","2,86","1,31","0,82","0,49","0,41","0,25","0,25","0,08","0,08","0,00","10,87","4,74","5,15","0,65","0,08","0,00","0,08","0,00","0,00","0,00","0,16","0,00"
sr16.txt,1,1061,"31,21","21,21","71,91","45,71","15,83","8,01","0,28","0,57","0,47","7,45","2,45","7,82","9,80","11,31","1,04","1,79","8,20","0,00","2,92","13,95","5,00","1,32","1,13","1,79","0,09","0,57","0,00","0,28","3,68","0,38","1,13","0,38","0,00","0,00","0,00","9,52","0,66","0,47","0,28","3,20","2,07","0,94","0,09","0,19","0,57","19,98","3,11","1,51","0,66","1,89","0,94","0,38","6,41","1,98","3,20","0,57","0,94","0,47","0,85","0,19","0,00","0,00","0,66","8,20","1,41","5,56","1,70","3,02","2,54","0,57","0,38","1,41","0,09","0,28","0,38","0,09","0,00","9,71","3,20","6,41","0,09","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
sr17.txt,1,4613,"18,45","19,45","73,42","48,10","15,54","8,63","0,43","0,65","0,76","7,35","2,23","6,92","10,45","11,03","0,67","2,08","7,80","0,02","4,12","13,55","5,92","2,02","1,63","2,19","0,02","1,02","0,09","0,33","3,47","1,21","1,45","0,37","0,00","0,43","0,00","9,30","0,43","0,07","0,74","2,67","1,21","1,26","0,17","0,74","0,26","20,10","2,41","1,41","1,17","2,43","1,08","0,26","6,11","2,82","2,45","0,76","0,74","0,43","0,72","0,30","0,09","0,07","0,37","9,84","2,41","4,79","3,40","2,75","2,43","0,61","0,41","0,69","0,07","0,17","0,28","0,09","0,00","11,99","5,27","5,92","0,20","0,02","0,24","0,00","0,09","0,00","0,00","0,22","0,04"
sr18.txt,1,1216,"25,87","21,79","69,16","46,71","11,27","6,83","0,33","0,41","0,00","6,41","1,81","4,44","11,76","8,88","0,66","2,38","4,85","0,00","3,45","16,61","5,51","1,48","1,81","3,04","0,00","1,97","0,00","0,00","2,96","0,66","0,99","0,66","0,00","0,00","0,00","7,32","0,08","0,25","0,82","2,55","1,32","1,23","0,16","0,41","0,58","15,54","2,14","0,74","0,33","1,48","1,15","0,33","6,25","2,80","2,96","1,32","0,49","0,33","2,55","0,90","0,16","0,25","0,90","9,21","1,23","5,18","3,12","1,32","1,32","0,66","0,33","0,33","0,25","0,25","0,16","0,00","0,00","11,60","3,78","7,07","0,25","0,41","0,08","0,00","0,00","0,00","0,00","0,00","0,00"
sr19.txt,1,34676,"17,12","19,27","71,80","47,69","14,06","9,05","1,07","0,25","0,74","7,60","2,90","5,01","10,93","8,92","0,73","3,25","4,40","0,00","3,89","15,06","5,78","1,53","1,70","2,52","0,09","1,58","0,04","0,11","3,05","0,63","0,95","0,35","0,00","0,17","0,00","10,03","0,89","0,19","0,78","2,51","1,31","1,06","0,19","0,49","0,19","17,19","1,77","0,79","0,59","1,85","1,35","0,48","6,75","2,06","2,71","0,84","0,92","0,41","1,44","0,54","0,33","0,18","0,56","9,05","1,88","4,52","3,23","2,40","1,49","0,79","0,74","0,48","0,15","0,15","0,22","0,05","0,00","13,79","5,78","6,12","0,33","0,03","0,17","0,09","0,04","1,12","0,06","0,03","0,01"
sr20.txt,1,36619,"16,69","18,87","71,46","47,66","14,02","9,27","1,24","0,27","0,92","7,62","2,64","4,75","10,95","9,12","0,81","3,59","4,36","0,00","3,99","15,24","5,85","1,62","1,55","2,34","0,07","1,62","0,06","0,16","3,23","0,55","0,84","0,32","0,01","0,19","0,00","9,67","0,59","0,12","0,48","2,69","1,52","1,11","0,19","0,43","0,25","16,80","1,76","0,92","0,62","1,82","1,26","0,39","6,66","2,10","3,00","0,69","1,28","0,44","1,58","0,52","0,31","0,16","0,72","9,43","2,12","4,62","3,32","2,21","1,66","0,89","0,58","0,54","0,17","0,19","0,22","0,13","0,00","14,08","6,01","6,11","0,40","0,01","0,20","0,05","0,04","1,20","0,04","0,01","0,02"
vm01.txt,1,358,"17,05","18,99","71,23","45,53","15,92","9,22","1,68","0,00","1,12","5,31","3,91","6,70","12,29","10,89","0,84","0,28","10,61","0,00","1,96","11,45","4,75","0,56","2,23","0,28","0,00","1,68","0,56","0,00","2,23","1,68","1,68","0,56","0,00","1,12","0,00","12,57","0,00","0,28","0,56","3,91","3,91","1,40","0,00","0,28","0,56","19,55","2,23","1,40","1,68","2,51","1,12","0,28","5,31","1,12","0,84","0,28","0,28","0,00","0,84","0,28","0,00","0,56","0,28","7,82","1,12","5,03","2,23","2,79","2,23","1,96","0,00","1,40","0,00","1,12","0,28","0,00","0,00","13,41","4,47","6,42","0,56","0,00","1,40","0,00","0,00","0,00","0,00","0,56","0,00"
vm02.txt,1,923,"34,19","24,16","74,54","46,37","13,43","9,10","0,65","0,00","0,11","8,23","1,95","4,33","16,25","8,45","0,98","1,73","5,85","0,00","2,49","15,49","3,79","1,84","1,30","1,63","0,00","0,76","0,00","0,11","2,71","1,08","0,76","0,33","0,11","0,00","0,00","7,69","0,54","0,11","0,76","3,68","2,17","1,95","0,00","1,52","0,11","16,25","1,84","0,87","0,76","1,63","0,98","0,33","6,07","1,52","1,73","0,54","0,33","0,22","0,76","0,00","0,43","0,00","0,33","8,13","0,98","5,53","2,06","5,74","2,38","0,98","0,22","0,00","0,11","0,11","0,22","0,11","0,00","8,88","2,93","4,98","0,33","0,54","0,11","0,00","0,00","0,00","0,00","0,00","0,00"
vm03.txt,1,274,"30,44","24,09","71,17","44,53","13,50","6,93","0,73","0,36","0,73","6,20","2,55","6,57","8,39","9,12","1,46","2,19","6,57","0,00","4,38","14,23","5,84","1,82","1,09","1,09","0,00","0,73","0,00","0,00","4,01","0,00","0,00","0,36","0,00","0,00","0,00","9,12","0,00","0,00","0,00","4,01","2,19","1,82","0,36","1,09","0,00","18,98","1,46","0,36","0,73","2,92","1,46","0,00","6,57","1,46","5,47","0,36","1,09","2,92","2,19","0,73","0,36","0,00","1,09","5,84","1,46","3,28","1,82","3,65","1,46","0,73","1,46","1,09","1,09","0,00","0,00","0,00","0,00","17,88","3,28","6,20","0,00","0,00","0,00","0,00","0,00","8,39","0,00","0,00","0,00"
